Date,Filename,Total,Additions,Deletions
2020-03-01,build.gradle.kts,26,10,16
2020-03-01,download.adoc,12,6,6
2020-03-01,in-mempry-h2.adoc,14,7,7
2020-03-01,postgres-in-docker.adoc,4,2,2
2020-03-01,executable-jar.adoc,8,4,4
2020-03-01,unix.adoc,8,4,4
2020-03-01,windows.adoc,4,2,2
2020-03-01,index.adoc,6,3,3
2020-03-01,gradle.properties,6,2,4
2020-03-01,subprojects.gradle.kts,4,2,2
2020-03-01,BasicJGivenTestScenario.java,4,2,2
2020-03-01,BasicContextTest.java,16,6,10
2020-03-01,application-h2.bash,2,1,1
2020-03-01,application-h2.cmd,2,1,1
2020-03-01,application.bash,2,1,1
2020-03-01,application.cmd,2,1,1
2020-03-01,settings.gradle.kts,6,4,2
2020-03-01,gradle.properties,4,1,3
2020-03-01,integration-tests.yml,72,56,16
2020-03-01,.gitignore,26,15,11
2020-03-01,.travis.yml,71,10,61
2020-03-01,integration-tests.yml,84,84,0
2020-03-01,build.gradle.kts,33,18,15
2020-03-01,build.gradle.kts,23,0,23
2020-03-01,Globals.kt,39,0,39
2020-03-01,gradle.properties,39,38,1
2020-03-01,dependencyUpdates.gradle.kts,33,0,33
2020-03-01,repo-config.gradle.kts,7,0,7
2020-03-01,subprojects.gradle.kts,18,9,9
2020-03-01,gradle-wrapper.properties,2,1,1
2020-03-01,build.gradle.kts,13,4,9
2020-03-01,build.gradle.kts,20,5,15
2020-03-01,build.gradle.kts,19,13,6
2020-03-01,tail.hbs,2,1,1
2020-03-01,application-h2.bash,2,1,1
2020-03-01,application-h2.cmd,2,1,1
2020-03-01,application.bash,2,1,1
2020-03-01,application.cmd,2,1,1
2020-03-01,settings.gradle.kts,49,33,16
2020-03-01,Globals.kt,39,0,39
2020-03-01,gradle.properties,40,40,0
2020-01-01,Globals.kt,10,5,5
2020-01-01,gradle-wrapper.properties,2,1,1
2020-01-01,application-h2.bash,2,1,1
2020-01-01,application-h2.cmd,2,1,1
2020-01-01,application.bash,2,1,1
2020-01-01,application.cmd,2,1,1
2020-01-01,.travis.yml,32,14,18
2020-01-01,maven-wrapper.properties,4,2,2
2020-01-01,.travis.yml,8,4,4
2020-01-01,build.gradle.kts,18,9,9
2020-01-01,Globals.kt,21,10,11
2020-01-01,gradle-wrapper.properties,2,1,1
