Date,Filename,Total,Additions,Deletions
2017-07-01,template_tags.py,5,3,2
2017-07-01,template_tags.py,5,3,2
2017-06-01,gitcommitid.disabled.py,24,24,0
2017-06-01,cli.py,6,3,3
2017-06-01,commands.py,2,1,1
2017-06-01,site.py,9,8,1
2017-06-01,template_tags.py,7,7,0
2017-02-01,cli.py,6,3,3
2017-02-01,site.py,9,8,1
2017-02-01,template_tags.py,7,7,0
2017-02-01,commands.py,2,1,1
2016-10-01,gitcommitid.disabled.py,24,24,0
2016-09-01,template_tags.py,4,2,2
2016-09-01,logger.py,8,4,4
2016-09-01,page.py,26,23,3
2016-09-01,page.py,33,25,8
2016-09-01,template_tags.py,4,2,2
2016-09-01,page.py,11,7,4
2016-09-01,logger.py,2,1,1
2016-09-01,logger.py,10,5,5
2016-07-01,site.py,20,14,6
2016-07-01,auth.py,2,1,1
2016-07-01,site.py,9,4,5
2016-07-01,blog.disabled.py,33,25,8
2016-07-01,blog.disabled.py,33,25,8
2016-07-01,setup.py,21,20,1
2016-07-01,blog.disabled.py,32,22,10
2016-07-01,blog.disabled.py,34,23,11
2016-07-01,blog.disabled.py,32,22,10
2016-07-01,blog.disabled.py,34,23,11
2016-06-01,blog.disabled.py,7,6,1
2016-06-01,blog.disabled.py,7,6,1
2016-01-01,blog.disabled.py,7,6,1
2016-01-01,blog.disabled.py,7,6,1
2016-06-01,auth.py,2,1,1
2016-06-01,blog.disabled.py,4,2,2
2016-06-01,blog.disabled.py,2,1,1
2016-06-01,site.py,9,4,5
2016-06-01,setup.py,21,20,1
2016-06-01,setup.py,21,20,1
2016-05-01,blog.disabled.py,2,1,1
2016-02-01,site.py,20,14,6
2016-03-01,auth.py,2,1,1
2016-02-01,setup.py,2,1,1
2016-02-01,server.py,22,13,9
2016-02-01,test_cli.py,47,43,4
2015-10-01,server.py,2,1,1
2015-10-01,server.py,20,12,8
2015-10-01,test_cli.py,47,43,4
2016-02-01,site.py,9,4,5
2016-01-01,blog.disabled.py,2,1,1
2016-01-01,blog.disabled.py,2,1,1
2015-10-01,filesystem.py,25,11,14
2015-10-01,cli.py,5,3,2
2015-10-01,test_cli.py,4,4,0
2015-10-01,cli.py,22,15,7
2015-10-01,test_cli.py,18,16,2
2015-10-01,filesystem.py,25,11,14
2015-10-01,compat.py,30,30,0
2015-10-01,test_build.py,7,5,2
2015-10-01,test_cli.py,25,21,4
2015-10-01,test_listener.py,10,6,4
2015-10-01,compat.py,30,30,0
2015-10-01,test_build.py,7,5,2
2015-10-01,test_listener.py,10,6,4
2015-10-01,test_cli.py,25,21,4
2015-10-01,setup.py,2,1,1
2015-10-01,setup.py,2,1,1
2015-10-01,cli.py,6,5,1
2015-10-01,test_cli.py,58,34,24
2015-10-01,setup.py,2,1,1
2015-10-01,sass.py,35,0,35
2015-10-01,setup.py,2,1,1
2015-10-01,ipc.py,4,3,1
2015-10-01,logger.py,4,3,1
2015-10-01,cli.py,64,35,29
2015-10-01,logger.py,25,14,11
2015-10-01,test_cli.py,4,2,2
2015-10-01,cli.py,19,10,9
2015-10-01,cli.py,14,5,9
2015-10-01,__init__.py,10,6,4
2015-10-01,__init__.py,4,2,2
2015-10-01,test_bootstrap.py,10,4,6
2015-10-01,test_cli.py,55,55,0
2015-10-01,test_ui.py,3,0,3
2015-10-01,__init__.py,19,15,4
2015-10-01,cli.py,121,73,48
2015-10-01,__init__.py,15,10,5
2015-10-01,__init__.py,2,1,1
2015-10-01,test_ui.py,3,2,1
2015-10-01,setup.py,2,1,1
2015-10-01,mac.py,2,1,1
2015-10-01,__init__.py,2,1,1
2015-10-01,setup.py,2,1,1
2015-10-01,__init__.py,4,0,4
2015-10-01,cli.py,121,73,48
2015-10-01,__init__.py,2,1,1
2015-10-01,test_ui.py,3,2,1
2015-10-01,__init__.py,15,15,0
2015-10-01,__init__.py,2,1,1
2015-10-01,mac.py,2,1,1
2015-10-01,__init__.py,15,10,5
2015-09-01,file.py,18,10,8
2015-09-01,test_config.py,33,32,1
2015-09-01,sync.py,1,0,1
2015-09-01,test_compat.py,2,1,1
2015-09-01,setup.py,2,1,1
