Date,Filename,Total,Additions,Deletions
2020-01-01,README.md,77,41,36
2020-01-01,etc/backend-repos.yaml,6,6,0
2020-01-01,etc/frontend-repos.yaml,6,6,0
2019-12-01,README.md,38,19,19
2019-11-01,etc/frontend-repos.yaml,2,1,1
2019-11-01,etc/frontend-repos.yaml,2,1,1
2019-11-01,README.md,58,30,28
2019-11-01,etc/backend-repos.yaml,3,3,0
2019-11-01,etc/frontend-repos.yaml,3,3,0
2019-11-01,README.md,80,40,40
2019-09-01,README.md,18,13,5
2019-09-01,etc/backend-repos.yaml,6,6,0
2019-09-01,etc/frontend-repos.yaml,9,9,0
2019-08-01,README.md,43,20,23
2019-07-01,README.md,30,15,15
2019-06-01,README.md,97,49,48
2019-04-01,README.md,11,6,5
2019-04-01,README.template.md,5,3,2
2019-04-01,README.md,62,31,31
2019-03-01,README.md,66,35,31
2019-02-01,README.md,32,16,16
2019-02-01,etc/backend-repos.yaml,5,4,1
2019-02-01,README.md,32,16,16
2019-02-01,README.md,39,21,18
2019-02-01,etc/backend-repos.yaml,5,4,1
2019-02-01,README.md,39,21,18
2019-02-01,README.md,24,12,12
2019-02-01,etc/backend-repos.yaml,8,7,1
2019-02-01,etc/backend-repos.yaml,8,7,1
2019-02-01,README.md,69,37,32
2019-02-01,etc/frontend-repos.yaml,3,3,0
2019-02-01,README.md,24,12,12
2019-02-01,README.md,43,23,20
2019-02-01,etc/frontend-repos.yaml,2,1,1
2019-02-01,etc/frontend-repos.yaml,3,3,0
2019-02-01,README.md,27,14,13
2019-01-01,README.md,37,19,18
2019-01-01,README.md,37,19,18
2019-01-01,etc/backend-repos.yaml,3,3,0
2019-01-01,etc/backend-repos.yaml,3,3,0
2019-01-01,README.template.md,2,0,2
2019-01-01,etc/frontend-repos.yaml,2,1,1
2019-01-01,README.md,84,41,43
2019-01-01,README.md,84,41,43
2019-01-01,README.template.md,30,14,16
2019-01-01,README.md,59,32,27
2019-01-01,etc/frontend-repos.yaml,3,3,0
2019-01-01,etc/backend-repos.yaml,3,3,0
2019-01-01,etc/backend-repos.yaml,3,3,0
2019-01-01,etc/backend-repos.yaml,3,3,0
2019-01-01,etc/frontend-repos.yaml,3,3,0
2019-01-01,etc/backend-repos.yaml,3,3,0
2019-01-01,README.md,31,16,15
2018-12-01,api/Conduit.postman_collection.json,2,1,1
2018-12-01,README.md,22,11,11
2018-12-01,README.md,12,7,5
2018-12-01,etc/backend-repos.yaml,3,3,0
2018-12-01,README.md,12,6,6
2018-11-01,README.md,18,9,9
2018-11-01,README.md,28,14,14
2018-11-01,README.template.md,2,1,1
2018-11-01,etc/backend-repos.yaml,3,3,0
2018-11-01,README.md,84,42,42
2018-11-01,etc/update-readme.js,2,1,1
2018-11-01,README.md,70,35,35
2018-11-01,README.md,59,55,4
2018-11-01,etc/update-readme.js,17,15,2
2018-11-01,api/Conduit.postman_collection.json,2,1,1
2018-11-01,api/Conduit.postman_collection.json,2,1,1
2018-10-01,README.md,25,14,11
2018-10-01,api/Conduit.postman_collection.json,78,39,39
2018-10-01,etc/frontend-repos.yaml,3,3,0
2018-10-01,README.md,17,8,9
2018-10-01,README.md,17,8,9
2018-10-01,etc/backend-repos.yaml,3,3,0
2018-10-01,etc/backend-repos.yaml,3,3,0
2018-10-01,README.md,2,1,1
2018-10-01,etc/backend-repos.yaml,2,1,1
2018-10-01,etc/backend-repos.yaml,4,2,2
2018-10-01,README.md,18,10,8
2018-10-01,etc/backend-repos.yaml,5,4,1
2018-10-01,README.md,12,6,6
2018-09-01,README.md,12,6,6
2018-09-01,README.md,15,8,7
2018-09-01,README.md,15,8,7
2018-09-01,etc/backend-repos.yaml,3,3,0
2018-09-01,README.md,12,6,6
2018-09-01,api/Conduit.postman_collection.json,1100,685,415
2018-09-01,api/Conduit.postman_environment.json,22,0,22
2018-09-01,api/Conduit.postman_integration_test_environment.json,24,0,24
2018-09-01,api/README.md,25,4,21
2018-09-01,api/run-api-tests.sh,16,16,0
2018-08-01,etc/backend-repos.yaml,3,3,0
2018-08-01,etc/backend-repos.yaml,3,3,0
2018-08-01,README.md,20,9,11
2018-08-01,etc/frontend-repos.yaml,3,3,0
2018-08-01,README.md,9,4,5
2018-08-01,README.md,17,9,8
2018-08-01,README.md,8,4,4
2018-08-01,README.template.md,6,0,6
2018-08-01,etc/update-readme.js,11,8,3
2018-08-01,README.md,26,14,12
2018-08-01,etc/backend-repos.yaml,5,4,1
2018-08-01,README.md,4,2,2
2018-07-01,README.md,8,4,4
2018-07-01,README.md,21,13,8
2018-07-01,README.template.md,3,3,0
2018-07-01,etc/backend-repos.yaml,3,3,0
2018-07-01,etc/mobile-repos.yaml,3,3,0
2018-07-01,etc/update-readme.js,4,4,0
2018-07-01,api/README.md,28,28,0
2018-07-01,api/README.md,28,28,0
2018-06-01,README.md,66,63,3
2018-06-01,etc/update-readme.js,6,4,2
2018-06-01,README.md,2,1,1
2018-06-01,README.md,4,2,2
2018-06-01,README.md,6,3,3
2018-06-01,README.md,41,23,18
2018-06-01,README.md,41,23,18
2018-06-01,.gitignore,2,2,0
2018-06-01,.travis.yml,9,7,2
2018-06-01,README.template.md,173,173,0
2018-06-01,etc/backend-repos.yaml,60,60,0
2018-06-01,etc/frontend-repos.yaml,39,39,0
2018-06-01,etc/push.sh,16,16,0
2018-06-01,etc/update-readme.js,102,102,0
2018-06-01,package.json,2,2,0
2018-05-01,README.template.md,2,2,0
2018-05-01,README.template.md,10,2,8
2018-05-01,etc/update-readme.js,8,7,1
2018-05-01,README.template.md,6,6,0
2018-05-01,etc/update-readme.js,30,26,4
2018-05-01,README.md,26,14,12
2018-05-01,README.template.md,4,2,2
2018-05-01,etc/update-readme.js,4,3,1
2018-05-01,README.md,26,12,14
2018-05-01,.travis.yml,6,5,1
2018-05-01,etc/push.sh,2,1,1
2018-05-01,etc/push.sh,2,1,1
2018-05-01,etc/push.sh,18,8,10
2018-05-01,etc/push.sh,2,1,1
2018-05-01,.gitignore,2,2,0
2018-05-01,.travis.yml,5,3,2
2018-05-01,etc/README.tmpl.md,171,171,0
2018-05-01,etc/backend-repos.yaml,60,60,0
2018-05-01,etc/frontend-repos.yaml,39,39,0
2018-05-01,etc/push.sh,18,18,0
2018-05-01,etc/update-readme.js,72,72,0
2018-05-01,package.json,2,2,0
2018-05-01,README.md,3,3,0
2018-05-01,README.md,3,3,0
2018-04-01,README.md,2,1,1
2018-04-01,README.md,2,1,1
2018-04-01,README.md,2,1,1
2018-04-01,README.md,2,1,1
2018-04-01,README.md,6,3,3
2018-03-01,README.md,2,1,1
2018-03-01,README.md,6,3,3
2018-02-01,README.md,9,5,4
2018-02-01,README.md,2,1,1
2018-02-01,README.md,2,1,1
2018-02-01,README.md,4,2,2
2018-02-01,README.md,4,2,2
2018-01-01,README.md,6,6,0
2018-01-01,README.md,2,1,1
2018-01-01,README.md,2,1,1
2018-01-01,README.md,2,1,1
2018-01-01,README.md,14,7,7
2018-01-01,README.md,3,2,1
2017-12-01,README.md,4,2,2
2017-12-01,README.md,2,1,1
2017-12-01,README.md,8,4,4
2017-12-01,README.md,8,4,4
2017-11-01,README.md,5,4,1
2017-11-01,README.md,5,5,0
2017-11-01,README.md,2,1,1
2017-11-01,README.md,2,1,1
2017-11-01,.travis.yml,2,1,1
2017-11-01,api/Conduit.postman_collection.json,12,6,6
2017-11-01,.travis.yml,2,1,1
2017-11-01,api/Conduit.postman_collection.json,12,6,6
2017-11-01,api/README.md,2,1,1
2017-11-01,api/README.md,2,1,1
2017-10-01,README.md,2,1,1
2017-10-01,README.md,3,2,1
2017-09-01,api/README.md,4,4,0
2017-09-01,api/README.md,2,1,1
2017-08-01,README.md,2,1,1
2017-08-01,README.md,4,2,2
2017-08-01,api/README.md,4,4,0
2017-08-01,api/README.md,2,1,1
2017-07-01,media/edit_on_blitz.png,0,0,0
2017-07-01,media/sb_edit.png,0,0,0
2017-07-01,media/edit_on_sb.png,0,0,0
2017-07-01,media/edit_on_sb.png,0,0,0
2017-07-01,README.md,1,1,0
2017-07-01,README.md,4,2,2
2017-07-01,README.md,4,2,2
2017-07-01,README.md,4,2,2
2017-07-01,README.md,19,10,9
2017-07-01,README.md,2,1,1
2017-07-01,README.md,2,1,1
2017-07-01,README.md,17,9,8
2017-07-01,README.md,17,9,8
2017-06-01,README.md,4,2,2
2017-06-01,README.md,2,1,1
2017-06-01,README.md,8,4,4
2017-06-01,README.md,2,1,1
2017-06-01,README.md,2,1,1
2017-06-01,README.md,6,3,3
2017-06-01,README.md,4,2,2
2017-06-01,README.md,4,2,2
2017-06-01,spec/README.md,2,1,1
2017-06-01,spec/README.md,2,1,1
2017-05-01,README.md,2,1,1
2017-05-01,README.md,2,1,1
2017-05-01,README.md,2,1,1
2017-05-01,README.md,2,0,2
2017-05-01,README.md,7,5,2
2017-05-01,README.md,4,2,2
2017-05-01,spec/README.md,2,1,1
2017-05-01,spec/README.md,2,1,1
2017-05-01,spec/README.md,13,11,2
2017-05-01,README.md,2,1,1
2017-05-01,README.md,2,1,1
2017-05-01,README.md,2,1,1
2017-05-01,README.md,2,1,1
2017-05-01,README.md,4,2,2
2017-05-01,README.md,22,12,10
2017-05-01,README.md,16,7,9
2017-05-01,README.md,16,9,7
2017-05-01,README.md,24,20,4
2017-05-01,.travis.yml,4,4,0
2017-05-01,README.md,2,1,1
2017-05-01,package.json,5,4,1
2017-05-01,README.md,2,1,1
2017-05-01,.travis.yml,4,3,1
2017-05-01,package.json,2,1,1
2017-05-01,.travis.yml,2,1,1
2017-05-01,.travis.yml,2,2,0
2017-05-01,package.json,7,5,2
2017-05-01,.gitignore,37,22,15
2017-05-01,api/Conduit.postman_collection.json,518,264,254
2017-05-01,api/Conduit.postman_integration_test_environment.json,24,24,0
2017-05-01,README.md,2,1,1
2017-05-01,README.md,5,4,1
2017-05-01,api/swagger.json,1217,1217,0
2017-05-01,api/swagger.json,1217,1217,0
2017-05-01,.gitignore,37,22,15
2017-05-01,api/Conduit.postman_collection.json,518,264,254
2017-05-01,api/Conduit.postman_integration_test_environment.json,24,24,0
2017-05-01,README.md,2,1,1
2017-05-01,README.md,2,1,1
2017-05-01,api/README.md,12,6,6
2017-05-01,api/README.md,12,6,6
2017-05-01,README.md,2,1,1
2017-05-01,api/Conduit.postman_collection.json,791,750,41
2017-05-01,api/README.md,12,8,4
2017-05-01,README.md,2,1,1
2017-05-01,api/Conduit.postman_collection.json,791,750,41
2017-05-01,api/README.md,12,8,4
2017-05-01,docs/readme.md,1,0,1
2017-05-01,docs/_config.yml,1,0,1
